整理番号,集計F,出馬,当選,候補者ID,イメージID,ブロックCD,都道府県CD,統合CD,選挙区CD,ブロック名,都道府県名,選挙区名,選挙区登録番号,比例登録番号,選挙区届出番号,名簿掲載順,候補者名,新旧,党派CD,集計党派CD,集計党派,党派名,,確認F,,,,,,,,,,,,,,,,,Q01-1,Q01-2,Q01-3,"Q02
","Q03
","Q04
","Q05
-01","Q05
-02","Q05
-03","Q05
-04","Q05
-05","Q05
-06","Q05
-07","Q05
-08","Q05
-09","Q06
","Q07
",Q08-01,Q08-02,Q08-03,Q08-04,Q08-05,Q08-06,Q09,Q10,"Q11
","Q12
","Q13
","Q14
","Q15
","Q16
","Q17
","Q18
","SQ　【Q18で01か02を選んだ人だけ】 
-01","SQ　【Q18で01か02を選んだ人だけ】 
-02","SQ　【Q18で01か02を選んだ人だけ】 
-03","SQ　【Q18で01か02を選んだ人だけ】 
-04","SQ　【Q18で01か02を選んだ人だけ】 
-05","SQ　【Q18で01か02を選んだ人だけ】 
-06","SQ　【Q18で01か02を選んだ人だけ】 
-07","SQ　【Q18で01か02を選んだ人だけ】 
-08","SQ　【Q18で01か02を選んだ人だけ】 
-09","SQ　【Q18で01か02を選んだ人だけ】 
-10","SQ　【Q18で01か02を選んだ人だけ】 
-11","SQ　【Q18で01か02を選んだ人だけ】 
-12","SQ　【Q18で01か02を選んだ人だけ】 
-13","SQ　【Q18で01か02を選んだ人だけ】 
-14","SQ　【Q18で01か02を選んだ人だけ】 
-15","SQ　【Q18で01か02を選んだ人だけ】 
-16","SQ　【Q18で01か02を選んだ人だけ】 
-17","SQ　【Q18で01か02を選んだ人だけ】 
-18","SQ　【Q18で01か02を選んだ人だけ】 
-19","SQ　【Q18で01か02を選んだ人だけ】 
-20","Q19
","Q20
",Q21,Q22,Q23,"Q24 
","Q25
","Q26
","Q27
-01","Q27
-02","Q27
-03","Q27
-04","Q27
-05","Q27
-06","Q27
-07","Q27
-08","Q27
-09","Q27
-10","Q28-01
",Q28-02,Q28-03,Q28-04,Q28-05,Q28-06,Q28-07,Q28-08,Q28-9
746,1,1,0,137570,YRYA23010XXX004K,87,23,23,10,東海ブ,愛知県,愛知１０区,4,38,2,21,若山慎司,3,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,07,04,03,02,02,,,,,,,,,09,02,02,02,02,02,03,03,02,02,02,03,02,03,02,02,02,02,02,,,03,,05,06,07,08,,10,,,,,15,,,18,,,01,03,04,03,02,02,03,02,,02,,,,,,,,,100,100,50,0,0,50,0,0,0
747,1,1,0,135504,YRYA23011XXX001K,87,23,23,11,東海ブ,愛知県,愛知１１区,1,0,1,0,八木哲也,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,16,04,02,04,04,,,03,04,05,,,,,03,02,02,02,01,02,02,02,03,02,03,02,02,01,01,02,01,01,01,,03,,05,,,,,10,,,,,,,,18,,,01,04,02,02,02,02,,03,,02,,,,,,,,,100,70,40,55,0,35,0,0,0
748,1,1,0,135813,YRYA23011XXX002K,87,23,23,11,東海ブ,愛知県,愛知１１区,2,3,2,3,丹野みどり,3,13,06,国民民主党,国民,,○,,,,,,,,,,,,,,,,,09,06,14,03,02,02,,,,,,,,,09,01,03,03,03,02,02,03,02,02,03,03,03,03,02,02,03,02,01,,,03,,,06,,,,,,,,14,,,,,,,01,04,02,02,03,03,02,03,01,,03,,,,,,,,10,0,20,0,0,100,0,0,0
749,1,1,0,137288,YRYA23011XXX003K,87,23,23,11,東海ブ,愛知県,愛知１１区,3,0,3,0,植田和男,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,06,01,11,03,03,01,,,,04,,,,08,,03,05,04,01,01,01,01,01,03,04,05,05,03,05,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,02,03,01,,,03,,,,,08,,,0,0,10,0,100,0,5,10,0
750,1,1,0,135737,YRYA23012XXX001K,87,23,23,12,東海ブ,愛知県,愛知１２区,1,0,4,0,青山周平,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,05,04,04,04,04,,,,,,,,,09,01,02,02,03,01,01,03,01,02,02,02,02,03,02,01,03,03,01,,,03,,,,,08,,,,,,,,,,,,,01,01,01,02,01,03,02,03,,02,,,,,,,,,90,90,50,50,20,65,20,20,30
751,1,1,0,135738,YRYA23012XXX002K,87,23,23,12,東海ブ,愛知県,愛知１２区,2,12,2,17,重徳和彦,1,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,14,05,11,02,04,02,,02,,,,,,,,03,02,03,03,03,03,04,02,03,03,03,02,02,01,02,03,02,02,,,,,,,,,,,,,,,,,,,,20,03,02,03,02,02,03,03,03,,,,,,06,,,,,40,50,100,50,40,80,50,50,50
753,1,1,0,136104,YRYA23012XXX004K,87,23,23,12,東海ブ,愛知県,愛知１２区,4,16,3,11,中川博登,3,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,14,07,04,03,02,01,,,,,,,,,09,02,03,04,05,02,04,04,01,02,02,01,01,02,01,01,01,01,01,,,03,,,,,08,,,11,,,14,,16,,18,,,01,01,02,04,01,03,02,01,,,,,,,,,,,50,50,50,100,50,50,50,50,50
754,1,1,0,137339,YRYA23012XXX005K,87,23,23,12,東海ブ,愛知県,愛知１２区,5,0,1,0,関久一,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,06,14,19,03,03,01,,,,04,,,,08,,03,05,04,01,01,01,01,01,03,04,05,05,03,05,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,02,03,01,,,,,,,,,,,0,0,20,0,100,10,5,70,0
755,1,1,0,135739,YRYA23013XXX001K,87,23,23,13,東海ブ,愛知県,愛知１３区,1,25,3,22,石井拓,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,09,21,03,04,02,,,,,,,,,09,01,03,02,02,02,02,03,02,03,02,01,01,02,02,02,03,02,01,01,,03,,,,,08,,10,,,,,,,,18,,,01,01,01,01,03,03,02,04,,02,,,,,,,,,90,80,50,50,50,50,50,50,50
756,1,1,0,135740,YRYA23013XXX002K,87,23,23,13,東海ブ,愛知県,愛知１３区,2,13,1,18,大西健介,1,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,05,01,14,03,02,01,01,,,04,,,,,,02,03,04,02,01,03,03,01,03,03,03,02,02,02,02,03,01,02,,,,,05,06,,08,,,11,12,13,,,,,,19,,03,02,03,01,02,02,03,02,,,,04,,06,,,,,40,50,90,40,10,70,40,60,40
757,1,1,0,137289,YRYA23013XXX003K,87,23,23,13,東海ブ,愛知県,愛知１３区,3,0,2,0,牛田清博,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,03,06,14,03,03,01,,,,04,,,,08,,03,05,04,01,01,01,01,01,03,04,05,05,03,05,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,03,03,01,,,03,,,,07,08,,,0,0,50,0,100,0,50,50,0
758,1,1,0,135503,YRYA23014XXX001K,87,23,23,14,東海ブ,愛知県,愛知１４区,1,12,2,23,今枝宗一郎,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,14,01,04,02,02,02,,,,,,,,,09,01,03,01,01,01,02,02,01,01,02,03,01,02,01,03,05,05,02,,,,,,,,,,,,,,,,,,,,,01,02,03,03,03,05,,04,,02,,,,,,,,,85,80,30,50,0,50,,,
759,1,1,0,136087,YRYA23014XXX002K,87,23,23,14,東海ブ,愛知県,愛知１４区,2,0,1,0,浅尾大輔,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,14,07,04,03,03,01,,,,04,,,,08,,03,05,04,01,01,01,01,01,03,04,05,05,03,05,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,03,03,01,,,03,,,,,08,,,0,0,50,0,100,0,30,90,0
760,1,1,0,137266,YRYA23014XXX003K,87,23,23,14,東海ブ,愛知県,愛知１４区,3,27,3,19,大嶽理恵,3,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,04,06,12,03,01,01,,,,,,,,,09,03,03,04,04,02,02,04,02,03,04,05,05,04,05,03,03,03,01,,,,,,,,08,,,,,,,15,,,,,,05,03,04,05,04,01,03,01,,,,,,06,,,,,0,0,100,0,0,50,0,30,0
761,1,1,0,135502,YRYA23015XXX001K,87,23,23,15,東海ブ,愛知県,愛知１５区,1,0,2,0,根本幸典,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,21,01,12,03,03,03,,,,,,,,08,,01,01,01,01,01,01,03,01,,,03,02,,,01,02,02,01,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,1,1,0,136328,YRYA23015XXX002K,87,23,23,15,東海ブ,愛知県,愛知１５区,2,11,1,12,関健一郎,2,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,01,05,14,04,02,01,,,,,,,,,09,02,02,02,04,02,03,03,01,02,02,01,01,01,02,01,03,02,01,,,03,04,05,,,08,,,,,,,,16,,18,,,02,01,02,05,02,05,03,03,,,,,,,,,,,0,0,20,100,0,80,0,0,0
763,1,1,0,136329,YRYA23015XXX003K,87,23,23,15,東海ブ,愛知県,愛知１５区,3,1,4,3,辻恵,2,41,07,れいわ新選組,れいわ,,○,,,,,,,,,,,,,,,,,03,12,14,03,01,01,,,,,,,,,09,01,03,01,01,01,01,01,01,01,04,05,05,03,05,05,03,03,05,,,,,,,,,,,,,,,,,,,,,05,,05,05,04,05,03,01,,,,,,,,,,,,,,,,,,,
764,1,1,0,137128,YRYA23015XXX004K,87,23,23,15,東海ブ,愛知県,愛知１５区,4,26,3,20,小山千帆,3,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,07,06,04,02,04,01,01,02,03,04,,,,,,02,04,03,01,01,02,02,01,02,03,03,02,02,03,01,01,01,04,,,,,,,,,,,,,,,,,,,,,05,03,04,04,04,02,03,01,,,,04,,06,,,,,5,10,100,55,20,80,30,40,15
766,1,1,0,137267,YRYA23015XXX006K,87,23,23,15,東海ブ,愛知県,愛知１５区,6,0,5,0,高木繁,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,11,07,03,03,03,01,,,,04,,,,08,,03,05,04,01,01,01,01,01,03,04,05,05,03,05,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,03,03,01,,,03,,,,07,08,,,0,0,10,0,100,0,10,20,0
768,1,1,0,135805,YRYA23016XXX002K,87,23,23,16,東海ブ,愛知県,愛知１６区,2,18,3,21,松田功,2,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,01,07,04,03,03,01,,,,,,,,,09,03,04,03,03,03,03,03,02,04,03,03,03,02,03,02,02,02,05,,,,,,,,,,,,,,,,,,,,,05,03,04,05,04,03,03,02,,,,,,,,,,,25,25,95,50,50,50,50,50,50
769,1,1,0,135814,YRYA23016XXX003K,87,23,23,16,東海ブ,愛知県,愛知１６区,3,4,1,5,福田徹,3,13,06,国民民主党,国民,,○,,,,,,,,,,,,,,,,,07,01,11,04,01,02,,,,,,,,,09,02,02,02,03,01,02,03,01,02,02,02,02,02,01,01,03,03,01,,,03,,,06,,08,,,,,,,,16,,18,,,01,01,02,02,01,02,03,02,01,,,04,,,,,,,100,100,100,100,100,100,100,100,100
771,1,1,0,136447,YRYA23016XXX005K,87,23,23,16,東海ブ,愛知県,愛知１６区,5,0,4,0,犬飼明佳,3,3,02,公明党,公明,,○,,,,,,,,,,,,,,,,,14,01,12,03,02,01,,02,03,,,,,,,03,03,03,02,02,02,02,01,02,02,02,02,02,02,02,02,02,02,,,,,,,,,,,,,,,,,,18,,,04,,04,03,02,02,03,02,01,,,,,,,,,,,100,,,,,,,
772,1,1,0,137340,YRYA23016XXX006K,87,23,23,16,東海ブ,愛知県,愛知１６区,6,0,2,0,松崎省三,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,14,07,03,03,03,01,,,,04,,,,08,,03,05,04,01,01,01,01,01,03,04,05,05,03,05,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,03,03,01,,,03,,,,07,08,,,0,0,0,0,100,0,25,25,0
773,1,1,0,135742,YRYA24001XXX001K,87,24,24,1,東海ブ,三重県,三重１区,1,26,2,24,田村憲久,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,07,06,03,04,04,,,,,,,,,09,01,01,01,01,01,02,02,02,02,02,01,01,01,01,01,03,01,01,,,03,,,,,,,,,,,,,,,18,,20,01,01,01,01,02,02,,03,,02,,,,,,,,,90,70,0,10,0,10,0,0,0
774,1,1,0,136108,YRYA24001XXX004K,87,24,24,1,東海ブ,三重県,三重１区,4,24,3,22,福森和歌子,3,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,07,06,18,02,04,04,01,02,03,,,,,,,03,04,03,02,02,02,02,02,02,03,03,03,03,03,03,03,03,03,,,,,,,,,,,,,,,,,,,,,04,03,03,03,02,02,03,02,,,,,,06,,,,,50,60,90,50,50,60,50,50,30
775,1,1,0,136605,YRYA24001XXX005K,87,24,24,1,東海ブ,三重県,三重１区,5,0,1,0,出口洋介,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,14,09,06,03,01,01,,,,,,,,,09,03,03,03,01,01,01,01,01,03,04,05,05,04,04,03,03,03,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,03,03,01,,,03,,,,07,08,,,0,0,30,0,100,0,30,30,0
776,1,1,0,135745,YRYA24002XXX001K,87,24,24,2,東海ブ,三重県,三重２区,1,27,3,25,川崎秀人,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,05,16,06,02,04,02,01,02,,,05,,,,,02,02,02,02,01,01,03,02,03,02,02,02,02,02,01,03,02,02,,,03,,,,,,,10,,,,,,,,18,,,01,01,01,01,02,02,03,03,,02,,,,,,,,,60,60,50,40,20,40,0,20,40
777,1,1,0,135913,YRYA24002XXX002K,87,24,24,2,東海ブ,三重県,三重２区,2,8,4,13,森口あゆみ,3,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,05,01,12,04,04,01,,,,,,,,,09,02,02,02,04,02,02,03,01,02,02,02,01,02,01,02,03,03,02,,,03,,,,,08,,,,,,,,16,,,,,01,01,03,04,02,02,02,02,01,02,,,,06,,,,,15,15,5,75,0,20,0,5,0
778,1,1,0,136109,YRYA24002XXX003K,87,24,24,2,東海ブ,三重県,三重２区,3,23,2,23,下野幸助,3,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,09,01,04,04,03,01,,02,03,,,,,,,03,04,02,02,01,02,04,02,02,03,03,02,03,02,02,03,02,02,,,,,,,,08,,,,,13,,,16,,,,,02,03,04,05,02,02,03,01,,,,,,06,,,,,10,50,90,60,50,80,50,50,50
779,1,1,0,136110,YRYA24002XXX004K,87,24,24,2,東海ブ,三重県,三重２区,4,0,1,0,山本里香,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,14,09,07,03,01,01,,,,,,,,,09,03,03,03,01,01,01,01,01,03,04,05,05,04,04,03,03,03,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,03,03,01,,,03,,,,07,08,,,0,0,30,0,100,0,30,,0
780,1,1,0,135746,YRYA24003XXX001K,87,24,24,3,東海ブ,三重県,三重３区,1,0,3,0,岡田克也,1,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,14,01,05,03,04,03,01,,03,04,,,,,,04,03,04,02,03,03,03,02,03,,03,02,02,03,02,02,02,02,,,,,,,,,,,,,13,,,,,,19,,05,03,04,04,03,02,03,02,,,,,,06,,08,,,,,,,,,,,
781,1,1,0,135747,YRYA24003XXX002K,87,24,24,3,東海ブ,三重県,三重３区,2,28,1,26,石原正敬,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,12,04,13,03,04,04,,,,,05,,,,,02,03,02,02,02,02,03,03,03,02,02,02,02,02,02,03,02,01,,,03,,,,,08,,10,,,,,,,,18,,,01,01,01,01,04,02,03,04,,02,,,,,,,,,100,75,50,50,50,50,50,50,50
782,1,1,0,135802,YRYA24003XXX003K,87,24,24,3,東海ブ,三重県,三重３区,3,7,2,14,伊藤昌志,3,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,02,07,14,03,01,01,,,,,,,,,09,01,01,03,03,02,05,03,01,01,02,02,02,03,01,03,03,03,01,,,03,,,,,,,,,,,,,,,,,,01,01,03,05,01,04,02,03,,,,,,06,,,,10,0,50,75,100,0,75,0,0,0
784,1,1,0,135748,YRYA24004XXX001K,87,24,24,4,東海ブ,三重県,三重４区,1,0,1,0,中川民英,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,14,06,07,03,01,01,,,,,,,,,09,02,03,03,01,01,01,01,01,03,04,05,05,04,03,05,03,03,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,03,03,01,,,,,,,07,08,,,0,0,30,0,100,,30,,0
785,1,1,0,135750,YRYA24004XXX003K,87,24,24,4,東海ブ,三重県,三重４区,3,0,3,0,鈴木英敬,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,21,07,03,04,02,,,,,,,,08,,01,02,,,,,,,,01,01,01,01,01,01,03,02,01,,,03,,,,,,,10,,,,,,,,18,,20,01,01,01,01,02,03,02,03,,02,,,,,,,,,90,85,35,50,0,40,0,0,0
786,1,1,0,136160,YRYA24004XXX004K,87,24,24,4,東海ブ,三重県,三重４区,4,20,2,24,青沼陽一郎,3,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,14,21,12,02,04,03,,,,,,,,,09,04,03,03,02,02,01,01,01,04,,03,02,02,02,02,03,02,04,,,,,,,,,,,,,,,,,,,,,04,03,03,03,02,02,03,02,,,,,,06,,,,,,,,,,,,,
787,1,1,0,135232,YRYA25001XXX001K,88,25,25,1,近畿ブ,滋賀県,滋賀１区,1,63,3,3,大岡敏孝,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,07,02,02,04,05,01,02,,,05,06,07,,,04,04,02,03,02,02,04,02,04,02,02,01,01,01,02,03,02,01,01,,03,04,,,,,09,,11,,,,,,17,18,,,01,02,01,01,02,02,03,04,,02,03,04,,06,,,,,80,75,70,70,50,70,50,50,55
788,1,1,0,135233,YRYA25001XXX002K,88,25,25,1,近畿ブ,滋賀県,滋賀１区,2,65,2,1,斎藤アレックス,1,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,01,07,14,03,02,02,,,,,,,,,09,03,03,03,03,01,03,03,01,02,02,01,01,01,01,,01,01,02,,,03,,05,06,,08,,10,,12,13,14,15,16,,18,19,,02,02,02,02,02,03,03,01,,,03,,,06,,08,,,50,50,75,100,50,50,50,,50
789,1,1,0,135441,YRYA25001XXX003K,88,27,27,9,近畿ブ,大阪府,大阪９区,5,0,3,0,片岡真,3,858,09,参政党,参政,,○,,,,,,,,,,,,,,,,,01,04,11,04,04,04,,,,,,,,,09,01,02,02,04,01,02,03,01,02,02,01,02,04,02,02,04,03,01,,,03,,,,,,,,,,,,,,,,,,01,01,02,01,03,05,01,05,,,,,,,,,,,50,50,50,50,50,,50,50,
790,1,1,0,135773,YRYA25001XXX004K,88,25,25,1,近畿ブ,滋賀県,滋賀１区,4,0,1,0,黄野瀬明子,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,06,03,18,03,03,01,,,,04,,,,08,,03,05,04,01,01,01,01,01,03,04,05,05,03,05,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,02,03,01,,,,,,,,08,,,0,0,0,0,100,0,0,50,0
791,1,1,0,135234,YRYA25002XXX001K,88,25,25,2,近畿ブ,滋賀県,滋賀２区,1,2,1,4,上野賢一郎,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,07,12,03,02,04,,,,,,,,,09,02,02,02,02,02,02,04,01,02,02,02,01,02,02,01,03,02,01,,,03,,05,06,07,08,,10,,,,,,16,,18,,,01,01,03,02,04,02,02,05,,02,,,,,,,,,100,100,25,35,10,45,5,5,10
792,1,1,0,135235,YRYA25002XXX002K,88,25,25,2,近畿ブ,滋賀県,滋賀２区,2,66,2,2,徳永久志,1,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,14,04,05,03,01,01,,,,,,,,,09,03,03,,01,01,02,02,01,02,,02,02,02,02,01,02,01,02,,,03,,,,,08,,10,,,,14,,16,,18,,,02,02,04,02,02,02,03,03,,,03,,,06,,08,,,20,10,60,100,0,50,50,50,50
793,1,1,0,137492,YRYA25002XXX003K,88,25,25,2,近畿ブ,滋賀県,滋賀２区,3,25,3,1,平尾道雄,3,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,14,12,08,03,02,02,,,,,,,,,09,04,04,04,03,02,02,03,01,03,03,04,03,03,02,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,03,05,03,02,03,01,,,,,,06,,08,,,,,,,,,,,
794,1,1,0,135236,YRYA25003XXX001K,88,25,25,3,近畿ブ,滋賀県,滋賀３区,1,64,1,5,武村展英,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,11,12,01,05,05,01,02,,,05,,,,,02,03,03,03,02,03,03,01,02,02,01,01,02,02,01,03,01,01,,,03,,,,,,,10,,,,,,,,18,,20,01,02,03,01,02,04,01,05,,02,,,,,,,,,90,90,50,25,0,50,0,0,0
795,1,1,0,136100,YRYA25003XXX002K,88,25,25,3,近畿ブ,滋賀県,滋賀３区,2,69,2,3,出路真吾,3,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,14,07,11,03,02,01,,,,,,,,,09,02,03,04,05,02,05,04,01,02,02,01,01,02,01,01,01,01,01,,,03,,,,,08,,,11,,,14,,16,,18,,,01,01,02,04,01,03,02,01,,,,,,,,,,,50,50,50,100,50,50,50,50,50
796,1,1,0,136450,YRYA25003XXX003K,88,25,25,3,近畿ブ,滋賀県,滋賀３区,3,17,4,1,北野裕子,3,858,09,参政党,参政,,○,,,,,,,,,,,,,,,,,04,03,,03,03,02,,,,,,,,,09,01,01,01,04,01,02,02,01,01,01,02,01,04,02,03,04,04,04,,,,,,,,,,,,,,,,,,,,,01,01,02,02,04,05,01,05,,,,,,,,,,,,,,,,,,,100
797,1,1,0,136473,YRYA25003XXX004K,88,25,25,3,近畿ブ,滋賀県,滋賀３区,4,0,3,0,佐藤耕平,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,01,06,11,03,03,01,,,,,,,,08,,03,05,04,01,02,01,01,01,03,04,05,05,03,05,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,04,04,03,03,01,,,,,,,,08,,,0,0,0,0,100,0,20,80,0
799,1,1,0,135238,YRYA26001XXX002K,88,26,26,1,近畿ブ,京都府,京都１区,2,1,4,4,堀場幸子,1,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,04,14,07,03,02,01,,,,,,,,,09,02,03,04,05,02,04,01,01,02,02,01,01,02,01,01,02,01,01,,,03,,,,,08,,,,,,14,,16,,18,,,01,01,02,04,02,03,02,01,,,,,,,,,,,50,50,50,100,50,50,,50,50
800,1,1,0,135239,YRYA26001XXX003K,88,26,26,1,近畿ブ,京都府,京都１区,3,4,1,6,勝目康,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,11,07,04,04,04,,,,,,,,08,,02,02,01,04,01,02,04,01,02,02,01,01,01,01,01,03,02,01,01,,03,,,,,,,10,,,,,,16,,18,,,01,01,01,01,04,04,02,04,,02,,,,,,,,,80,75,25,15,10,30,5,5,10
801,1,1,0,135442,YRYA26001XXX004K,88,26,26,1,近畿ブ,京都府,京都１区,4,19,5,2,安達悠司,3,858,09,参政党,参政,,○,,,,,,,,,,,,,,,,,01,09,05,03,02,02,,,,,,,,,09,01,02,01,04,01,02,02,01,02,01,02,01,03,02,02,03,02,01,01,02,03,,05,06,07,08,,10,,12,,,,16,,,,20,01,01,04,01,02,05,02,05,,,,,,,,,,,50,50,50,50,50,50,50,50,100
802,1,1,0,136111,YRYA26001XXX005K,88,26,26,1,近畿ブ,京都府,京都１区,5,2,3,2,安持成美,3,41,07,れいわ新選組,れいわ,,○,,,,,,,,,,,,,,,,,03,04,06,03,01,01,,,,,,,,,09,01,03,01,01,01,01,01,01,01,04,05,05,03,05,05,03,03,05,,,,,,,,,,,,,,,,,,,,,05,,05,05,04,05,03,01,,,,,,,,,,,,,,,,,,,
803,1,1,0,136267,YRYA26001XXX006K,88,26,26,1,近畿ブ,京都府,京都１区,6,0,6,0,井坂博文,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,14,01,11,03,03,01,,,,04,,,,08,,03,05,04,01,01,01,01,01,03,04,05,05,03,05,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,02,03,01,,,03,,,,07,08,,,0,0,50,0,100,0,50,70,0
804,1,1,0,137602,YRYA26001XXX007K,88,26,26,1,近畿ブ,京都府,京都１区,7,28,2,2,平竹耕三,3,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,21,06,16,02,04,01,,,,,,,,08,,02,04,03,02,01,03,02,01,03,03,05,03,03,03,01,02,02,03,,,,,,,,,,,,,,,,,,,,,05,03,05,04,02,02,03,01,,,,,,,,08,,,30,50,90,0,50,50,30,70,0
805,1,1,0,137725,YRYA26001XXX008K,88,26,26,1,近畿ブ,京都府,京都１区,8,0,7,0,山下博子,3,932,11,無所属,無所属,,○,,,,,,,,,,,,,,,,,09,05,,03,04,02,,,03,,,,,,,02,03,03,03,03,03,03,03,03,03,03,03,02,03,02,04,03,03,,,,,,,,,,,,,,,,,,,,,03,,,,,03,01,03,,,,,,,,,,,,,,,,,,,
806,1,1,0,135240,YRYA26002XXX001K,88,26,26,2,近畿ブ,京都府,京都２区,1,64,1,5,前原誠司,1,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,04,01,11,03,01,01,,,,,,,,,,02,02,03,03,01,02,03,01,02,02,02,02,02,01,01,02,02,01,01,,03,,,,,08,,,,,,,,16,,18,,,01,02,03,02,02,02,03,02,,,,,,,,,,,,,,100,,,,,
807,1,1,0,135858,YRYA26002XXX002K,88,26,26,2,近畿ブ,京都府,京都２区,2,38,3,7,佐野英志,3,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,16,11,03,03,03,,,,,,,,,,02,01,,,,,,,02,02,,02,02,02,01,01,01,01,,02,03,,05,06,,,,10,,12,,,,16,17,,,,01,02,01,01,03,03,02,03,,02,,,,,,,,,100,100,,,,,,,
808,1,1,0,136027,YRYA26002XXX003K,88,26,26,2,近畿ブ,京都府,京都２区,3,29,2,2,堀川朗子,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,14,04,07,03,03,01,,,,04,,,,08,,03,05,04,01,01,01,01,01,03,04,05,05,03,05,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,03,03,01,,,03,,,,07,08,,,30,30,60,30,100,30,70,100,30
809,1,1,0,136112,YRYA26002XXX004K,88,26,26,2,近畿ブ,京都府,京都２区,4,0,4,0,小松広明,3,858,09,参政党,参政,,○,,,,,,,,,,,,,,,,,11,07,13,03,02,03,,,,,,,,,09,01,03,03,05,02,02,03,01,01,02,03,02,04,02,03,03,03,01,,,,,,,,,,,,,,,,,,,,20,01,01,03,01,02,05,01,05,,,,,,,,,,,20,20,20,0,0,60,50,15,100
810,0,1,0,137800,YRYA26002XXX005K,88,26,26,2,近畿ブ,京都府,京都２区,5,0,5,0,本田裕典,3,932,11,無所属,無所属,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
